"conjunto_dados","coluna","tipo_dado","unidade_medida","natureza_dado","descricao","regra_origem"
"MonitorAr-Rio (Bruto)","lon","Float","Graus Decimais","Real","Longitude geográfica WGS84 da estação fixa","Cadastro técnico do MonitorAr"
"IBGE Entorno Bairros (Bruto)","CD_BAIRRO","Texto","—","Proxy (Censo 2022)","Código do Bairro definido pelo IBGE no Censo Demográfico 2022","FTP IBGE Censo 2022 (inicia com 3304557 para o RJ)"
"IBGE Entorno Bairros (Bruto)","NM_BAIRRO","Texto","—","Proxy (Censo 2022)","Nome oficial do bairro do município do Rio de Janeiro","FTP IBGE Censo 2022"
"IBGE Entorno Bairros (Bruto)","V05000","Inteiro","Domicílios","Proxy (Censo 2022)","Total de domicílios particulares permanentes ocupados no bairro","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05027","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios com presença de arborização no entorno","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05028","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios sem presença de arborização no entorno","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05001","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios com via pública pavimentada","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05002","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios com iluminação pública na via","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05005","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios com bueiro ou boca de lobo na via","Censo 2022 - Entorno dos Domicílios"
"IBGE Entorno Bairros (Bruto)","V05006","Inteiro","Domicílios","Proxy (Censo 2022)","Quantidade de domicílios com presença de esgoto a céu aberto","Censo 2022 - Entorno dos Domicílios"
"IPS Rio 2024 (Bruto)","COD_RA","Texto","—","Real (2024)","Código da Região Administrativa do Rio de Janeiro","Instituto Pereira Passos (IPP / data.rio)"
"IPS Rio 2024 (Bruto)","NOME_RA","Texto","—","Real (2024)","Nome oficial da Região Administrativa do Rio de Janeiro","Instituto Pereira Passos (IPP / data.rio)"
"IPS Rio 2024 (Bruto)","IPS_2024","Float","Pontos (0 a 100)","Real (2024)","Índice de Progresso Social consolidado para a RA na edição de 2024","Planilha Oficial do IPS Rio 2024 (IPP)"
"IPS Rio 2024 (Bruto)","DIM_NECESSIDADES","Float","Pontos (0 a 100)","Real (2024)","Dimensão 1: Necessidades Humanas Básicas (Nutrição, Água, Saneamento, Moradia, Segurança)","Planilha Oficial do IPS Rio 2024 (IPP)"
"IPS Rio 2024 (Bruto)","DIM_BEM_ESTAR","Float","Pontos (0 a 100)","Real (2024)","Dimensão 2: Fundamentos do Bem-Estar (Educação, Informação, Saúde, Qualidade do Meio Ambiente)","Planilha Oficial do IPS Rio 2024 (IPP)"
"IPS Rio 2024 (Bruto)","DIM_OPORTUNIDADES","Float","Pontos (0 a 100)","Real (2024)","Dimensão 3: Oportunidades (Direitos, Liberdade, Inclusão, Acesso à Educação Superior)","Planilha Oficial do IPS Rio 2024 (IPP)"
"IPS Rio 2024 (Bruto)","COMP_MEIO_AMBIENTE","Float","Pontos (0 a 100)","Real (2024)","Componente de Qualidade do Meio Ambiente do IPS 2024","Planilha Oficial do IPS Rio 2024 (IPP)"
"Massa Consolidada (Final)","data","Date","AAAA-MM-DD","Real (2024)","Data da medição no ano civil de 2024","Intervalo 2024-01-01 a 2024-12-31"
"Massa Consolidada (Final)","mes","Inteiro","1 a 12","Real (2024)","Mês correspondente do ano de 2024","Derivado da coluna data"
"Massa Consolidada (Final)","dia_ano","Inteiro","1 a 366","Real (2024)","Dia sequencial do ano de 2024 (ano bissexto)","Derivado da coluna data (day of year)"
"Massa Consolidada (Final)","regiao","Texto","—","Real (2024)","Nome amigável da estação/região monitorada (Centro, Copacabana, Tijuca, Bangu, etc.)","Mapeamento das 8 estações fixas"
"Massa Consolidada (Final)","ra_codigo","Texto","—","Real","Código romano oficial da Região Administrativa correspondente à estação","Classificação territorial IPP/PCRJ"
"Massa Consolidada (Final)","ra_nome","Texto","—","Real","Nome oficial da Região Administrativa","Classificação territorial IPP/PCRJ"
"Massa Consolidada (Final)","lat","Float","Graus Decimais","Real","Latitude da estação representativa da região","Cadastro MonitorAr"
"Massa Consolidada (Final)","lon","Float","Graus Decimais","Real","Longitude da estação representativa da região","Cadastro MonitorAr"
"Massa Consolidada (Final)","pm10_media","Float","µg/m³","Real (2024)","Concentração média diária de PM10 (média das 24 horas válidas)","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","pm10_max","Float","µg/m³","Real (2024)","Concentração máxima horária de PM10 registrada no dia","Máximo diário do MonitorAr"
"Massa Consolidada (Final)","pm2_5_media","Float","µg/m³","Real (2024)","Concentração média diária de PM2.5 (onde instrumentado)","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","o3_media","Float","µg/m³","Real (2024)","Concentração média diária de Ozônio","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","o3_max","Float","µg/m³","Real (2024)","Concentração máxima horária de Ozônio registrada no dia","Máximo diário do MonitorAr"
"Massa Consolidada (Final)","no2_media","Float","µg/m³","Real (2024)","Concentração média diária de Dióxido de Nitrogênio","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","co_media","Float","ppm","Real (2024)","Concentração média diária de Monóxido de Carbono","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","so2_media","Float","µg/m³","Real (2024)","Concentração média diária de Dióxido de Enxofre","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","temp_media","Float","°C","Real (2024)","Temperatura média diária do ar","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","temp_max","Float","°C","Real (2024)","Temperatura máxima horária registrada no dia","Máximo diário do MonitorAr"
"Massa Consolidada (Final)","temp_min","Float","°C","Real (2024)","Temperatura mínima horária registrada no dia","Mínimo diário do MonitorAr"
"Massa Consolidada (Final)","ur_media","Float","%","Real (2024)","Umidade relativa média diária do ar","Média aritmética diária do MonitorAr"
"Massa Consolidada (Final)","ur_min","Float","%","Real (2024)","Umidade relativa mínima registrada no dia","Mínimo diário do MonitorAr"
"Massa Consolidada (Final)","chuva_dia","Float","mm","Real (2024)","Precipitação total diária acumulada nas 24h","Soma diária do MonitorAr"
"Massa Consolidada (Final)","derivada_pm10","Float","µg/(m³·dia)","Derivado (2024)","Taxa instantânea de variação diária de PM10 por diferenças finitas centrais","d(PM10)/dt calculado via numpy.gradient"
"Massa Consolidada (Final)","derivada_temp","Float","°C/dia","Derivado (2024)","Taxa instantânea de variação diária da temperatura por diferenças finitas centrais","d(Temp)/dt calculado via numpy.gradient"
"Massa Consolidada (Final)","integral_acumulada_pm10","Float","µg·dia/m³","Derivado (2024)","Exposição acumulada de PM10 integrada no tempo desde 01/01/2024","Integral numérica definida via Regra dos Trapézios"
"Massa Consolidada (Final)","integral_acumulada_pm2_5","Float","µg·dia/m³","Derivado (2024)","Exposição acumulada de PM2.5 integrada no tempo desde 01/01/2024","Integral numérica definida via Regra dos Trapézios"
"Massa Consolidada (Final)","ips_2024","Float","Pontos (0 a 100)","Real (2024)","Índice de Progresso Social geral da RA na edição 2024","Join por RA com base do IPP 2024"
"Massa Consolidada (Final)","ips_dim_ambiente","Float","Pontos (0 a 100)","Real (2024)","Pontuação do componente de Meio Ambiente no IPS 2024 para a RA","Join por RA com base do IPP 2024"
"Massa Consolidada (Final)","ips_dim_moradia","Float","Pontos (0 a 100)","Real (2024)","Pontuação do componente de Moradia no IPS 2024 para a RA","Join por RA com base do IPP 2024"
"Massa Consolidada (Final)","pct_arborizacao_2022","Float","%","Proxy (Censo 2022)","Percentual de domicílios com arborização urbana na RA (proxy para 2024)","Soma(V05027) / Soma(V05000) por RA (IBGE Censo 2022)"
"Massa Consolidada (Final)","qtd_domicilios_arborizados","Inteiro","Domicílios","Proxy (Censo 2022)","Total absoluto de domicílios com arborização no entorno na RA","Soma(V05027) por RA"
"Massa Consolidada (Final)","total_domicilios","Inteiro","Domicílios","Proxy (Censo 2022)","Total absoluto de domicílios particulares permanentes na RA","Soma(V05000) por RA"
"Massa Consolidada (Final)","isa","Float","Pontos (0 a 100)","Derivado (2024)","Índice de Saúde Arbórea sintético estimado para o mês/região","100 - (30*calor + 20*seco + 20*chuva + 30*poluicao) + ruido N(0,3)"
"Massa Consolidada (Final)","isa_classe","Texto","Categórico","Derivado (2024)","Classificação diagnóstica da saúde da vegetação","Boa (>=70), Regular (50-69), Ruim (<50)"
"Massa Consolidada (Final)","flag_missing_pm10","Booleano","0 ou 1","Flag Qualidade","Indicador de ausência de dados brutos na série diária de PM10","1 se missing, 0 se medido normalmente"
"Massa Consolidada (Final)","flag_outlier_pm10","Booleano","0 ou 1","Flag Qualidade","Indicador de valor extremo identificado na série de PM10","1 se fora do intervalo [Q1-1.5*IQR, Q3+1.5*IQR], 0 caso contrário"
"Massa Consolidada (Final)","flag_imputado","Booleano","0 ou 1","Flag Qualidade","Indicador de registro com preenchimento por interpolação","1 se imputado/interpolado, 0 se dado original"
